Month,Casual,Member
"April, 2020",71.94187723,20.86724288
"May, 2020",50.07952699,19.08097005
"June, 2020",50.6839278,18.02238496
"July, 2020",58.66255107,17.01662099
"August, 2020",37.80615233,14.70874865
"September, 2020",30.67166473,13.3850973
"October, 2020",32.90153619,12.94377073
"November, 2020",92.19285598,94.72899204
"December, 2020",25.87930565,11.54079542
"January, 2021",14.29063782,46.64669685
"February, 2021",37.98960895,13.17503403
"March, 2021",13.77291928,37.95072247
